index;x;y;z
165;-1.254868;0.757324;-0.242203
166;-0.875381;0.335007;-0.246704
167;-0.905502;0.234131;-0.241669
168;-1.043961;0.316467;-0.177246
169;-0.806305;0.071381;-0.148956
170;-0.780518;-0.162308;-0.151047
171;-0.758377;-0.215500;-0.167648
172;-0.677567;-0.179916;-0.261200
173;-0.656586;-0.159607;-0.378326
174;-0.745789;-0.169586;-0.482208
175;-0.794479;-0.225266;-0.574203
176;-0.952942;-0.105667;-0.531067
177;-1.098557;-0.028091;-0.548004
178;-1.186768;0.083130;-0.528488
179;-1.224457;0.206390;-0.533096
180;-1.154129;0.300522;-0.445114
181;-1.095825;0.196808;-0.563889
182;-1.042374;0.187393;-0.573090
183;-0.952698;0.214279;-0.514282
184;-0.818054;0.123993;-0.460770
185;-0.764435;0.025040;-0.348679
186;-0.802750;0.145630;-0.281082
187;-0.734924;0.095993;-0.294571
188;-0.711639;0.077271;-0.326263
189;-0.715164;0.157562;-0.265564
190;-0.713745;0.273346;-0.219284
191;-0.798157;0.445465;-0.202835
192;-0.936584;0.570465;-0.215317
193;-1.125351;0.646774;-0.179092
194;-1.194092;0.641739;-0.199905
195;-1.262039;0.734634;-0.240585
196;-1.104324;0.648392;-0.236252
197;-0.924133;0.308640;-0.260025
198;-1.001068;0.369446;-0.179794
199;-0.940002;0.412231;-0.115128
200;-0.631104;0.139130;-0.129425
201;-0.498550;0.019623;-0.145355
202;-0.496811;0.104568;-0.165298
203;-0.500153;0.146774;-0.193130
204;-0.564651;0.218597;-0.191223
205;-0.689682;0.303162;-0.165802
206;-0.797668;0.328217;-0.182373
207;-0.911163;0.329773;-0.270935
208;-1.191360;0.389038;-0.326477
209;-1.396942;0.353683;-0.351028
210;-1.465164;0.355118;-0.438507
211;-1.558136;0.530609;-0.357605
212;-1.313614;0.286102;-0.372833
213;-1.205917;0.194504;-0.419052
214;-1.151077;0.262558;-0.340897
215;-0.996796;0.254395;-0.269424
216;-0.811188;0.147736;-0.196335
217;-0.859283;0.315552;-0.196503
218;-0.886398;0.452591;-0.175262
219;-0.764404;0.340317;-0.254349
220;-0.705261;0.259430;-0.273788
221;-0.709732;0.278809;-0.240799
222;-0.697723;0.410858;-0.241745
223;-0.673859;0.520325;-0.252609
224;-0.710495;0.554337;-0.272400
225;-0.896744;0.521164;-0.274704
226;-1.116516;0.591782;-0.265701
227;-1.064621;0.560638;-0.276581
228;-0.907257;0.472656;-0.322586
229;-0.906952;0.354706;-0.393417
230;-1.155029;0.491669;-0.364532
231;-1.025192;0.362061;-0.309662
232;-0.739487;0.102539;-0.289200
233;-0.621780;0.080170;-0.236511
